infile,author,dob,dod,gender,wikidata,bnf,viaf,loc,bne,isni,birth_date,death_date,century
"Abente_y_Lago,Victorino",Victorino Abente y Lago,1846-06-02,1935-12-22,male,Q11705076,12073572v,4953742,n84157483,XX5417948,0000 0000 2595 8160,1846-06-02T00:00:00Z,1935-12-22T00:00:00Z,<XXI
"Aburto_Uribe,Teresa",Teresa Aburto Uribe,,,,,,,,,,,,XXI
"Aching_Samatelo,César",César Aching Samatelo,,,,,,,,,,,,XXI
"Acosta_Sánchez,Juan_Felipe",Juan Felipe Acosta Sánchez,,,,,,,,,,,,XXI
"Acuña,Hernando_de",Hernando de Acuña,1518-01-01,1580-06-22,male,Q1749066,129560056,25407038,n82103154,XX820757,0000 0001 1610 0661,1518-01-01T00:00:00Z,1580-06-22T00:00:00Z,<XXI
"Acuña,Manuel",Manuel Acuña,1849-08-07,1873-12-06,male,Q2255746,12146059j,39414418,nr99018314,XX828217,0000 0000 8374 0549,1849-08-07T00:00:00Z,1873-12-06T00:00:00Z,<XXI
"Adames,Roberto_José",Roberto José Adames,,,,,,,,,,,,XXI
"Adrados_Maestre,Enrique",Enrique Adrados Maestre,,,,,,,,,,,,XXI
Aguijonmagico,Aguijonmagico,,,,,,,,,,,,XXI
"Aguilar_Martínez,Luis",Luis Aguilar Martínez,,,,,,,,,,,,XXI
"Aguirre,Mirta",Mirta Aguirre,1912-10-18,1980-08-08,female,Q9033592,12029678m,112207079,n81103550,XX1134234,0000 0001 0936 3383,1912-10-18T00:00:00Z,1980-08-08T00:00:00Z,<XXI
"Aguirre_y_Fierro,Guillermo",Guillermo Aguirre y Fierro,1887-05-27,1949-05-27,male,,12029678m,112207079,n81103550,XX1134234,0000 0001 0936 3383,1887-05-27T00:00:00Z,1949-05-27T00:00:00Z,<XXI
"Agustini,Delmira",Delmira Agustini,1886-10-24,1914-07-06,female,Q239458,120213091,72187462,n82214943,XX1010031,0000 0001 0914 7517,1886-10-24T00:00:00Z,1914-07-06T00:00:00Z,<XXI
"Ainchil,Claudia",Claudia Ainchil,,,,,,,,,,,,XXI
"Akinin_Levy,Samuel",Samuel Akinin Levy,,,,,,,,,,,,XXI
"Al_Haded,Alí",Alí Al Haded,,,,,,,,,,,,XXI
"Alba,Juan_Luis",Juan Luis Alba,,,,,,,,,,,,XXI
"Albaíno,Genaro",Genaro Albaíno,,,,,,,,,,,,XXI
"Alberca,Marta",Marta Alberca,,,,,,,,,,,,XXI
"Alberti,Rafael",Rafael Alberti,1902-12-16,1999-10-28,male,Q118936,11885596s,51683733,n79021551,XX1719975,0000 0001 2279 8162,1902-12-16T00:00:00Z,1999-10-28T00:00:00Z,<XXI
"Alcántara_Fernández,Orlando",Orlando Alcántara Fernández,,,,,,,,,,,,XXI
"Alcázar,Baltasar_del",Baltasar del Alcázar,1530-01-01,1606-01-16,male,Q4852628,14430874s,39594751,n86834368,XX904436,0000 0000 8700 8005,1530-01-01T00:00:00Z,1606-01-16T00:00:00Z,<XXI
"Aldana,Francisco_de",Francisco de Aldana,1537-01-01,1578-08-04,male,Q3751057,12034937v,37164133,n78095607,XX830601,0000 0001 0888 7417,1537-01-01T00:00:00Z,1578-08-04T00:00:00Z,<XXI
"Aleixandre,Vicente",Vicente Aleixandre,1898-04-26,1984-12-14,male,Q134644,11885602w,109520823,n79007259,XX1720156,0000 0001 2147 4043,1898-04-26T00:00:00Z,1984-12-14T00:00:00Z,<XXI
"Alfaro,Óscar",Oscar Alfaro,1921-09-05,1963-12-25,male,Q2032642,11885602w,118471438,n86815777,XX825867,0000 0000 8414 778X,1921-09-05T00:00:00Z,"1963-12-25T00:00:00Z,1963-12-24T00:00:00Z",<XXI
"Alfaro_Velásquez,Carlos_E.",Carlos E. Alfaro Velásquez,,,,,,,,,,,,XXI
"Almagro,Ramón_de",Ramón de Almagro,,,,,,,,,,,,XXI
"Alonso,Dámaso",Dámaso Alonso,1899-10-22,1990-01-25,male,Q312945,12020631s,4943079,n79119067,XX824040,0000 0001 2118 5444,1899-10-22T00:00:00Z,1989-01-25T00:00:00Z,<XXI
"Alonso,Patricia",Patricia Alonso,,,,,,,,,,,,XXI
"Alonso_Rodríguez,Blanca-María",Blanca-María Alonso Rodríguez,,,,,,,,,,,,XXI
"Altamirano,Ignacio_Manuel",Ignacio Manuel Altamirano Basilio,1834-11-13,1893-02-13,male,Q572655,121517224,4968421,n50021474,XX861859,0000 0001 2275 9040,1834-11-13T00:00:00Z,1893-02-13T00:00:00Z,<XXI
"Altolaguirre,Manuel",Manuel Altolaguirre,1905-06-29,1959-07-26,male,Q921933,14020214c,"2482525,215",n80137692,XX839055,0000 0003 5924 7406,1905-06-29T00:00:00Z,1959-07-26T00:00:00Z,<XXI
"Altuzar_Suárez,Mario_Luis",Mario Luis Altuzar Suárez,,,,,,,,,,,,XXI
"Alvarado,Tito",Tito Alvarado,,,,,,,,,,,,XXI
"Alzate_López,Alain",Alain Alzate López,,,,,,,,,,,,XXI
"Alzugaray,Juan_Leandro",Juan Leandro Alzugaray,,,,,,,,,,,,XXI
Amanda,Amanda,,,,,,,,,,,,XXI
"Amoroso,Alberto_Gustavo",Alberto Gustavo Amoroso,,,,,,,,,,,,XXI
"Anadón,Antonio_José",Antonio José Anadón,,,,,,,,,,,,XXI
"Andivia,Juan",Juan Andivia,,,,,,,,,,,,XXI
"Andrade,Víctor",Víctor Andrade,,,,,,,,,,,,XXI
"Álvarez_de_Cienfuegos,Nicasio",Nicasio Álvarez de Cienfuegos,1764-12-14,1809-06-30,male,Q3875812,12198908n,109514381,n88075008,XX829258,0000 0001 1698 1366,1764-12-14T00:00:00Z,1809-06-30T00:00:00Z,<XXI
Anna,Anna,,,,,,,,,,,,XXI
